Year,Value
1990,11.3
1991,11.5
1992,11.8
1993,11.5
1994,11.6
1995,11.5
1996,11.6
1997,11.9
1998,11.8
1999,11.9
2000,11.8
2001,11.8
2002,11.9
2003,12.1
2004,11.5
2005,12.0
2006,11.9
2007,12.1
2008,12.1
2009,12.1
2010,11.4
2011,11.5
2012,11.6
2013,11.5
2014,11.9
2015,11.5
