Year,Value
1990,8.5
1991,8.2
1992,7.8
1993,7.5
1994,7.4
1995,7.4
1996,7.4
1997,7.2
1998,7.3
1999,7.5
2000,7.6
2001,7.6
2002,7.7
2003,7.7
2004,7.8
2005,8.0
2006,8.2
2007,8.3
2008,8.4
2009,8.4
2010,8.4
2011,8.2
2012,8.3
2013,8.2
2014,8.0
2015,8.1
